SerialNumber,T::TP1_T_PCT_400,T::TP1_T_PCT_410,T::TP1_T_PCT_420,T::TP1_T_PCT_450,T::TP1_T_PCT_500,T::TP1_T_PCT_550,T::TP1_T_PCT_600,T::TP1_T_PCT_650,T::TP1_T_PCT_700,T::TP1_T_PCT_750,T::TP1_T_PCT_800,T::TP1_T_PCT_850,T::TP1_T_PCT_900,T::TP1_T_PCT_950,T::TP1_T_PCT_1000,T::TP1_T_PCT_1050,T::TP1_T_PCT_1100,T::TP2_T_PCT_400,T::TP2_T_PCT_410,T::TP2_T_PCT_420,T::TP2_T_PCT_450,T::TP2_T_PCT_500,T::TP2_T_PCT_550,T::TP2_T_PCT_600,T::TP2_T_PCT_650,T::TP2_T_PCT_700,T::TP2_T_PCT_750,T::TP2_T_PCT_800,T::TP2_T_PCT_850,T::TP2_T_PCT_900,T::TP2_T_PCT_950,T::TP2_T_PCT_1000,T::TP2_T_PCT_1050,T::TP2_T_PCT_1100,T::TP3_T_PCT_400,T::TP3_T_PCT_410,T::TP3_T_PCT_420,T::TP3_T_PCT_450,T::TP3_T_PCT_500,T::TP3_T_PCT_550,T::TP3_T_PCT_600,T::TP3_T_PCT_650,T::TP3_T_PCT_700,T::TP3_T_PCT_750,T::TP3_T_PCT_800,T::TP3_T_PCT_850,T::TP3_T_PCT_900,T::TP3_T_PCT_950,T::TP3_T_PCT_1000,T::TP3_T_PCT_1050,T::TP3_T_PCT_1100,T::TP4_T_PCT_400,T::TP4_T_PCT_410,T::TP4_T_PCT_420,T::TP4_T_PCT_450,T::TP4_T_PCT_500,T::TP4_T_PCT_550,T::TP4_T_PCT_600,T::TP4_T_PCT_650,T::TP4_T_PCT_700,T::TP4_T_PCT_750,T::TP4_T_PCT_800,T::TP4_T_PCT_850,T::TP4_T_PCT_900,T::TP4_T_PCT_950,T::TP4_T_PCT_1000,T::TP4_T_PCT_1050,T::TP4_T_PCT_1100,T::TP5_T_PCT_400,T::TP5_T_PCT_410,T::TP5_T_PCT_420,T::TP5_T_PCT_450,T::TP5_T_PCT_500,T::TP5_T_PCT_550,T::TP5_T_PCT_600,T::TP5_T_PCT_650,T::TP5_T_PCT_700,T::TP5_T_PCT_750,T::TP5_T_PCT_800,T::TP5_T_PCT_850,T::TP5_T_PCT_900,T::TP5_T_PCT_950,T::TP5_T_PCT_1000,T::TP5_T_PCT_1050,T::TP5_T_PCT_1100
00263460310HM4602,1.895345,2.074105,2.252925,2.65132,3.407065,4.25153,4.75577,5.59413,6.647305,9.008095,11.745355,13.44834,15.747265,18.056275,19.896735,21.4454,22.35578,1.91642,2.094195,2.26194,2.67298,3.42893,4.273975,4.792875,5.636575,6.70221,9.064285,11.8281,13.561125,15.806915,18.254645,20.06024,21.483385,22.47703,2.06421,2.262625,2.442545,2.88018,3.68543,4.58314,5.14818,6.004435,7.12529,9.563845,12.3972,14.16646,16.48458,18.937015,20.802285,22.237205,23.24866,2.223465,2.42691,2.61838,3.08521,3.94401,4.888435,5.45787,6.371245,7.550095,10.044185,12.934275,14.73593,17.202995,19.53287,21.503395,22.93976,24.06436,2.15762,2.360145,2.550105,2.99876,3.84457,4.77543,5.33826,6.23571,7.40312,9.88654,12.766635,14.59606,17.01217,19.330355,21.26287,22.667175,23.787395
00263460719HM4602,1.834235,2.0026,2.172865,2.571915,3.320075,4.15984,4.654035,5.48116,6.53715,8.88405,11.617485,13.365705,15.636245,17.96994,19.748795,21.255965,22.211905,1.753315,1.93225,2.09803,2.483555,3.218715,4.045255,4.561495,5.35939,6.39958,8.72627,11.467885,13.16903,15.42475,17.74601,19.52823,20.989375,21.98426,1.766015,1.93216,2.091745,2.491935,3.224945,4.047665,4.55445,5.389005,6.425485,8.77668,11.497505,13.23727,15.464265,17.882375,19.605795,21.14474,22.10013,1.565925,1.720825,1.872215,2.232005,2.91735,3.68446,4.16457,4.9248,5.922195,8.157075,10.73795,12.425795,14.64827,16.95728,18.698825,20.123805,21.133955,1.70652,1.871225,2.030485,2.41886,3.14569,3.97243,4.46892,5.29047,6.34368,8.65135,11.299695,13.018425,15.323545,17.63062,19.353865,20.902405,21.83452
00263461004HM4602,2.59484,2.832175,3.04463,3.57049,4.508985,5.53209,6.13537,7.12829,8.33463,11.036545,14.128235,16.0361,18.491115,20.90089,22.77587,24.42439,25.37842,2.387335,2.60473,2.808395,3.294885,4.188145,5.15722,5.75862,6.706805,7.899155,10.536145,13.51953,15.32086,17.79899,20.253485,22.092305,23.550975,24.65206,2.41344,2.63631,2.836575,3.34004,4.226515,5.218225,5.820195,6.765625,7.978605,10.64531,13.61251,15.427215,17.85316,20.354115,22.215575,23.7098,24.80936,2.00398,2.20055,2.37435,2.80069,3.60797,4.506175,5.04293,5.921055,7.04206,9.479005,12.28844,14.016475,16.397055,18.7643,20.641405,22.096235,23.12028,1.860235,2.04741,2.218785,2.63083,3.41605,4.28118,4.793,5.667955,6.747645,9.15352,11.9088,13.68474,16.05173,18.38581,20.093845,21.63087,22.54899
00263461197HM4602,2.18125,2.373685,2.55781,2.987865,3.76559,4.634235,5.156735,5.99963,7.08665,9.483345,12.3196,14.09421,16.394765,18.603755,20.607315,22.01185,23.03853,2.17219,2.373635,2.54875,2.970895,3.75972,4.621675,5.15855,6.01247,7.105475,9.52065,12.326555,14.101205,16.385535,18.7774,20.591885,22.02464,23.027505,2.064355,2.265115,2.437735,2.861695,3.64261,4.50922,5.03545,5.86724,6.954285,9.37609,12.15124,13.945045,16.211885,18.591735,20.462835,21.936065,22.931945,1.9095,2.0821,2.244915,2.63932,3.381825,4.219315,4.726725,5.53716,6.591905,8.918315,11.615095,13.30003,15.611865,17.926405,19.72543,21.272105,22.16808,1.75428,1.923145,2.078415,2.4493,3.160905,3.951775,4.426835,5.2159,6.230055,8.467255,11.071405,12.79732,15.10641,17.29292,19.013515,20.470235,21.54541
00263461245HM4602,2.35124,2.551645,2.729605,3.15728,3.93354,4.78228,5.294885,6.144995,7.16567,9.61014,12.367305,13.99897,16.3433,18.74735,20.56633,21.998805,22.913565,2.093285,2.267465,2.44025,2.834255,3.564765,4.369225,4.85498,5.66989,6.663015,9.00417,11.669735,13.307035,15.512395,17.979145,19.63934,21.21654,21.98037,1.98386,2.157895,2.33058,2.710485,3.43193,4.224625,4.704485,5.50047,6.5056,8.824735,11.444355,13.016305,15.274725,17.725705,19.4323,21.00629,21.861645,1.833035,1.999015,2.16019,2.556775,3.292575,4.122615,4.61264,5.440155,6.47963,8.844225,11.47853,13.17722,15.460095,17.866255,19.62628,21.154345,22.05061,1.676625,1.832305,1.987035,2.344065,3.0153,3.77012,4.23066,4.996425,5.951615,8.191285,10.6834,12.34987,14.502945,16.826565,18.55439,19.987985,20.949635
00263470118HM4602,2.23843,2.44314,2.62218,3.050595,3.836465,4.70583,5.23583,6.11393,7.17651,9.63787,12.40186,14.1107,16.48392,18.91347,20.718345,22.18986,23.13347,2.18378,2.365255,2.548515,2.97856,3.750735,4.617425,5.13762,5.98304,7.03737,9.48642,12.166965,13.944505,16.196345,18.78371,20.487065,21.96958,22.90381,2.12432,2.314685,2.497715,2.920265,3.69385,4.57287,5.09747,5.931315,7.00428,9.4455,12.188865,13.871965,16.210725,18.70683,20.479625,21.987005,22.85549,1.801295,1.962175,2.13346,2.509595,3.204895,4.004865,4.4816,5.26984,6.27101,8.53761,11.14606,12.86343,15.06847,17.444325,19.20762,20.692645,21.529825,1.735475,1.906855,2.064165,2.4373,3.125495,3.91183,4.380515,5.16326,6.16568,8.409135,10.96716,12.67023,14.912215,17.19332,18.95999,20.39306,21.371415
00263470272HM4602,1.87819,2.04855,2.203945,2.592875,3.30344,4.109795,4.60366,5.40046,6.41007,8.70956,11.368715,12.990605,15.28133,17.730505,19.394195,20.93474,21.77367,1.916455,2.103695,2.26188,2.658715,3.399115,4.22135,4.714295,5.52912,6.54984,8.909085,11.56357,13.22145,15.45713,18.018385,19.60916,21.251815,22.036965,1.791645,1.963845,2.11926,2.496965,3.207475,4.009695,4.49391,5.285425,6.290115,8.575905,11.194515,12.80847,15.048245,17.535765,19.17223,20.739635,21.599785,1.830165,1.99049,2.15464,2.545355,3.273995,4.074165,4.563585,5.376675,6.401005,8.71188,11.32383,13.05362,15.308195,17.698035,19.42895,20.966475,21.806105,1.678395,1.821675,1.986,2.35867,3.052025,3.839795,4.299655,5.07654,6.08278,8.355575,10.93758,12.638815,14.896295,17.167405,18.97646,20.375335,21.329235
00263470750HM4602,2.81914,3.05698,3.281455,3.793555,4.71485,5.743925,6.346255,7.331825,8.522675,11.272835,14.284625,16.07754,18.533455,21.168655,22.910625,24.56857,25.441625,2.714635,2.943545,3.158625,3.659285,4.574885,5.56682,6.170795,7.133405,8.31161,11.00534,13.93666,15.761705,18.15936,20.87263,22.59847,24.17187,25.112015,2.959565,3.219195,3.43346,3.970405,4.91919,5.979695,6.605985,7.57445,8.830685,11.578415,14.578785,16.416595,18.80308,21.59641,23.354805,25.039145,25.81657,2.670655,2.90447,3.115565,3.63543,4.579695,5.60352,6.216555,7.196545,8.42405,11.114485,14.10958,15.983225,18.35429,21.020095,22.90221,24.40115,25.33108,2.70492,2.93591,3.147075,3.667295,4.601685,5.60875,6.234865,7.210225,8.421385,11.140135,14.041565,15.967605,18.375625,20.94677,22.812185,24.332695,25.29469
00263511273HL3K05,2.35462,2.564745,2.764995,3.203465,4.017975,4.90904,5.41986,6.32085,7.424685,9.96418,12.65518,14.555755,16.8262,18.957075,20.965545,22.39406,23.500565,2.55318,2.79359,3.00326,3.469515,4.330095,5.28382,5.82599,6.74644,7.91103,10.553925,13.32284,15.244015,17.546735,19.824915,21.74942,23.18371,24.22173,2.259355,2.470045,2.66238,3.086745,3.874415,4.75261,5.282655,6.142575,7.21953,9.742245,12.390715,14.266565,16.52748,18.66419,20.634635,21.97691,23.04531,2.23108,2.4394,2.626455,3.03823,3.839305,4.692705,5.20267,6.078535,7.15135,9.655055,12.275055,14.151615,16.27801,18.542295,20.4512,21.785045,22.84184,2.337445,2.559125,2.75611,3.18538,3.99315,4.88248,5.406105,6.293965,7.3932,9.93678,12.651765,14.526275,16.81091,18.941325,20.923795,22.28677,23.372045
00263530239HL3K05,1.78212,1.96005,2.128055,2.50031,3.19541,3.9621,4.430065,5.198665,6.19051,8.405435,10.913475,12.60382,14.729655,16.857085,18.620135,19.94789,20.97983,1.59406,1.76038,1.914395,2.26066,2.90434,3.613515,4.0675,4.79787,5.74636,7.85527,10.290275,11.92568,13.97828,16.077205,17.79728,19.093525,20.10534,1.871595,2.05913,2.23159,2.62736,3.33903,4.15155,4.63844,5.451165,6.48155,8.758875,11.326035,13.004155,15.14351,17.371615,19.05266,20.459325,21.39915,1.785375,1.965385,2.13144,2.4988,3.18257,3.93495,4.41173,5.174305,6.161305,8.371265,10.85459,12.493835,14.602115,16.73235,18.499155,19.83348,20.798465,1.782345,1.96276,2.12635,2.500565,3.187095,3.954,4.418515,5.200935,6.191905,8.400565,10.921215,12.59932,14.73555,16.86946,18.61896,19.92575,20.98708
