WaveLength,Module1,Min%, Max%, Modue2,Min%, Max%
400,15045.5000,-150.00,150.00,13266.7300,-150.00,150.00,
401,15379.9300,-150.00,150.00,13527.8900,-150.00,150.00,
402,16001.1200,-150.00,150.00,13722.5900,-150.00,150.00,
403,16293.7100,-150.00,150.00,14023.1800,-150.00,150.00,
404,16634.0600,-150.00,150.00,14526.7000,-150.00,150.00,
405,16911.4200,-150.00,150.00,14742.6300,-150.00,150.00,
406,17207.6300,-150.00,150.00,15032.0000,-150.00,150.00,
407,17777.6600,-150.00,150.00,15218.7400,-150.00,150.00,
408,18111.2500,-150.00,150.00,15740.9900,-150.00,150.00,
409,18463.7000,-150.00,150.00,15976.8400,-150.00,150.00,
410,18746.9600,-150.00,150.00,16176.7500,-150.00,150.00,
411,19225.1500,-150.00,150.00,16370.1800,-150.00,150.00,
412,19511.3600,-150.00,150.00,16774.1400,-150.00,150.00,
413,19822.5900,-150.00,150.00,17024.1300,-150.00,150.00,
414,20027.9100,-150.00,150.00,17191.3100,-150.00,150.00,
415,20711.7900,-150.00,150.00,17458.0800,-150.00,150.00,
416,21002.2400,-150.00,150.00,17877.7600,-150.00,150.00,
417,21388.2200,-150.00,150.00,18146.7600,-150.00,150.00,
418,21702.7200,-150.00,150.00,18395.7000,-150.00,150.00,
419,22232.3000,-150.00,150.00,18861.8900,-150.00,150.00,
420,22557.2100,-150.00,150.00,19049.7200,-150.00,150.00,
421,22720.3100,-150.00,150.00,19189.0500,-150.00,150.00,
422,22989.9800,-150.00,150.00,19366.5400,-150.00,150.00,
423,23228.7900,-150.00,150.00,19557.6000,-150.00,150.00,
424,23470.8500,-150.00,150.00,19718.2800,-150.00,150.00,
425,23714.5300,-150.00,150.00,19838.8700,-150.00,150.00,
426,23965.7000,-150.00,150.00,20078.4300,-150.00,150.00,
427,24588.9100,-150.00,150.00,20512.9600,-150.00,150.00,
428,24839.7600,-150.00,150.00,20779.0700,-150.00,150.00,
429,25128.3100,-150.00,150.00,20969.5200,-150.00,150.00,
430,25283.9600,-150.00,150.00,21143.8200,-150.00,150.00,
431,25643.7000,-150.00,150.00,21471.0800,-150.00,150.00,
432,25885.4800,-150.00,150.00,21619.5300,-150.00,150.00,
433,25994.6800,-150.00,150.00,21703.2900,-150.00,150.00,
434,26193.2600,-150.00,150.00,21861.1300,-150.00,150.00,
435,26430.5200,-150.00,150.00,22209.4900,-150.00,150.00,
436,26998.0400,-150.00,150.00,22436.5900,-150.00,150.00,
437,27318.5700,-150.00,150.00,22675.0300,-150.00,150.00,
438,27569.8800,-150.00,150.00,23120.9100,-150.00,150.00,
439,27804.6300,-150.00,150.00,23254.2400,-150.00,150.00,
440,28332.0700,-150.00,150.00,23545.8600,-150.00,150.00,
441,28568.1900,-150.00,150.00,23741.0500,-150.00,150.00,
442,28739.9300,-150.00,150.00,24145.7400,-150.00,150.00,
443,29002.1200,-150.00,150.00,24296.9600,-150.00,150.00,
444,29293.9600,-150.00,150.00,24350.7100,-150.00,150.00,
445,29465.1100,-150.00,150.00,24430.3700,-150.00,150.00,
446,29502.2100,-150.00,150.00,24611.7400,-150.00,150.00,
447,29657.7600,-150.00,150.00,24693.0400,-150.00,150.00,
448,29720.5700,-150.00,150.00,24630.5200,-150.00,150.00,
449,29662.3200,-150.00,150.00,24678.1400,-150.00,150.00,
450,29465.1100,-150.00,150.00,24436.8500,-150.00,150.00,
451,29317.7100,-150.00,150.00,24259.0700,-150.00,150.00,
452,28744.1600,-150.00,150.00,24050.2200,-150.00,150.00,
453,28582.5000,-150.00,150.00,23549.1000,-150.00,150.00,
454,28523.6300,-150.00,150.00,23390.5000,-150.00,150.00,
455,28482.3300,-150.00,150.00,23418.0100,-150.00,150.00,
456,29043.7600,-150.00,150.00,23496.6600,-150.00,150.00,
457,29404.9100,-150.00,150.00,23888.3400,-150.00,150.00,
458,29688.6800,-150.00,150.00,24049.5700,-150.00,150.00,
459,29930.5100,-150.00,150.00,24227.9800,-150.00,150.00,
460,30026.5300,-150.00,150.00,24263.9300,-150.00,150.00,
461,30007.6500,-150.00,150.00,24363.9900,-150.00,150.00,
462,30108.2400,-150.00,150.00,24321.8900,-150.00,150.00,
463,30209.1600,-150.00,150.00,24519.1100,-150.00,150.00,
464,30769.2400,-150.00,150.00,24753.6100,-150.00,150.00,
465,31089.7600,-150.00,150.00,25008.5500,-150.00,150.00,
466,31322.3900,-150.00,150.00,25187.7100,-150.00,150.00,
467,31712.1700,-150.00,150.00,25436.2500,-150.00,150.00,
468,31994.1600,-150.00,150.00,25787.9100,-150.00,150.00,
469,32110.5600,-150.00,150.00,25807.0300,-150.00,150.00,
470,32243.9400,-150.00,150.00,25878.0300,-150.00,150.00,
471,32514.9900,-150.00,150.00,26104.3200,-150.00,150.00,
472,33726.7300,-150.00,150.00,26839.2400,-150.00,150.00,
473,34425.4500,-150.00,150.00,27391.8600,-150.00,150.00,
474,34843.4300,-150.00,150.00,27777.5200,-150.00,150.00,
475,35259.6700,-150.00,150.00,28050.6200,-150.00,150.00,
476,35626.7100,-150.00,150.00,28430.9900,-150.00,150.00,
477,36012.9400,-150.00,150.00,28585.6400,-150.00,150.00,
478,36365.3000,-150.00,150.00,28851.7900,-150.00,150.00,
479,36869.7400,-150.00,150.00,29575.5300,-150.00,150.00,
480,37937.3200,-150.00,150.00,29965.8900,-150.00,150.00,
481,38349.2600,-150.00,150.00,30313.7700,-150.00,150.00,
482,38646.3000,-150.00,150.00,30479.7800,-150.00,150.00,
483,38460.0900,-150.00,150.00,30503.2200,-150.00,150.00,
484,38043.1500,-150.00,150.00,30280.9000,-150.00,150.00,
485,37758.5500,-150.00,150.00,30010.1400,-150.00,150.00,
486,37407.0800,-150.00,150.00,29762.8800,-150.00,150.00,
487,37557.8300,-150.00,150.00,29566.0900,-150.00,150.00,
488,37856.1400,-150.00,150.00,29681.5600,-150.00,150.00,
489,38041.8400,-150.00,150.00,29865.6800,-150.00,150.00,
490,38257.1800,-150.00,150.00,30263.6500,-150.00,150.00,
491,38719.0200,-150.00,150.00,30329.3900,-150.00,150.00,
492,38762.1200,-150.00,150.00,30388.6300,-150.00,150.00,
493,38624.9100,-150.00,150.00,30369.4300,-150.00,150.00,
494,38331.1700,-150.00,150.00,29938.2300,-150.00,150.00,
495,37668.8600,-150.00,150.00,29737.8300,-150.00,150.00,
496,37405.4400,-150.00,150.00,29463.9700,-150.00,150.00,
497,37361.1100,-150.00,150.00,29169.0500,-150.00,150.00,
498,37351.5900,-150.00,150.00,29210.0200,-150.00,150.00,
499,37918.9100,-150.00,150.00,29322.8500,-150.00,150.00,
500,38303.2200,-150.00,150.00,29637.9700,-150.00,150.00,
501,38836.8300,-150.00,150.00,30249.6500,-150.00,150.00,
502,39145.2900,-150.00,150.00,30480.4300,-150.00,150.00,
503,39585.6900,-150.00,150.00,30723.9600,-150.00,150.00,
504,39596.5600,-150.00,150.00,30761.4000,-150.00,150.00,
505,39499.0300,-150.00,150.00,30859.4200,-150.00,150.00,
506,39385.3800,-150.00,150.00,30751.6300,-150.00,150.00,
507,39375.5000,-150.00,150.00,30751.9600,-150.00,150.00,
508,39353.7600,-150.00,150.00,30919.0200,-150.00,150.00,
509,39623.2500,-150.00,150.00,31083.8300,-150.00,150.00,
510,39793.9600,-150.00,150.00,31296.2300,-150.00,150.00,
511,40355.8600,-150.00,150.00,31557.2300,-150.00,150.00,
512,40571.6400,-150.00,150.00,31949.0200,-150.00,150.00,
513,40608.2700,-150.00,150.00,32050.7500,-150.00,150.00,
514,40664.0400,-150.00,150.00,32074.8700,-150.00,150.00,
515,40499.7000,-150.00,150.00,32031.8300,-150.00,150.00,
516,40304.0700,-150.00,150.00,31973.8000,-150.00,150.00,
517,40180.3800,-150.00,150.00,31762.5600,-150.00,150.00,
518,40078.1500,-150.00,150.00,31820.2600,-150.00,150.00,
519,40315.2800,-150.00,150.00,32020.4200,-150.00,150.00,
520,40602.6600,-150.00,150.00,32212.8000,-150.00,150.00,
521,41062.5100,-150.00,150.00,32564.7300,-150.00,150.00,
522,41994.0100,-150.00,150.00,32954.9600,-150.00,150.00,
523,42464.9800,-150.00,150.00,33598.7000,-150.00,150.00,
524,42850.1700,-150.00,150.00,33868.4600,-150.00,150.00,
525,43135.8600,-150.00,150.00,34130.4400,-150.00,150.00,
526,43728.0600,-150.00,150.00,34499.0200,-150.00,150.00,
527,44219.1800,-150.00,150.00,34678.7800,-150.00,150.00,
528,44680.3400,-150.00,150.00,35034.7900,-150.00,150.00,
529,45052.4600,-150.00,150.00,35183.2300,-150.00,150.00,
530,45126.1100,-150.00,150.00,35281.6600,-150.00,150.00,
531,44924.4300,-150.00,150.00,35193.0400,-150.00,150.00,
532,44803.7100,-150.00,150.00,35014.5100,-150.00,150.00,
533,44756.6200,-150.00,150.00,34898.7800,-150.00,150.00,
534,44652.8200,-150.00,150.00,34813.7800,-150.00,150.00,
535,44682.6700,-150.00,150.00,34869.3500,-150.00,150.00,
536,44912.1600,-150.00,150.00,34884.7200,-150.00,150.00,
537,45568.7000,-150.00,150.00,35350.0200,-150.00,150.00,
538,45779.7600,-150.00,150.00,35572.1000,-150.00,150.00,
539,46044.6300,-150.00,150.00,35754.6300,-150.00,150.00,
540,46192.6800,-150.00,150.00,35883.2100,-150.00,150.00,
